symbol	assoc_subtype
POLRMT	
FZR1	
C19orf29	
GTF2F1	
ARHGEF18	
UPF1	
AP3D1	
GNA11	
WIZ	
DOT1L	
CHERP	
AKAP8L	
TYK2	
KIAA0892	
SPPL2B	
C19orf6	
MYO9B	
GATAD2A	
TCF3	
PTBP1	
NCLN	
PLCG1	
NFATC3	
TRRAP	
NUP188	
CIZ1	
ZBTB43	
FBXL11	
GOLGA2	
BICD2	
LARP1	
GOLGA3	
MSL2L1	
MORC2	
TTC28	
MYST3	
NCL	
PRKDC	
HNRPM	
NIPBL	
RNASEN	
HNRPH3	
HNRPA3	
JMJD2B	
SAFB	
ELAVL1	
LMNB2	
DNMT1	
SMARCA4	
ILF3	
KHSRP	
HCFC1	
RAD54L2	
HELZ	
MED12	
KPNB1	
DDX42	
CHD4	
GCN1L1	
EP400	
THOC2	
TPR	
SRRM2	
RBBP6	
BAT2D1	
BPTF	
ANKRD11	
RBM10	
ZNF629	
HNRPUL2	
ABL1	
SSRP1	
BRPF1	
UBN1	
MAML1	
TRIO	
TOP1	
GPR161	
BMS1	
PPM1G	
DCP1A	
PCSK7	
CASP2	
FER	
NCOR2	
DIAPH1	
DPP3	
TARS	
CDK6	CL
ABCD2	CL
GAS1	CL
TGIF2	CL
TBX2	CL
DOCK6	CL
CAMK2B	CL
CALM1	CL
SHOX2	CL
IRS2	CL
GRIK1	CL
MEIS1	CL
ADAM19	CL
JAG1	CL
LHFP	CL
TMEM147	CL
TMED1	CL
RIN1	CL
PEPD	CL
HS3ST3B1	CL
CDH4	CL
ACSL3	CL
RGS6	CL
KCNF1	CL
LMO2	CL
FZD7	CL
SLC2A10	CL
RBCK1	CL
NPEPL1	CL
POFUT1	CL
MCC	CL
FLJ11286	CL
CD97	CL
PLA2G5	CL
ARNTL	CL
ANXA5	CL
PIPOX	CL
LRRC16	CL
ELOVL2	CL
VAV3	CL
MEOX2	CL
FLJ21963	CL
NR2E1	CL
SIPA1L1	CL
GALNT4	CL
LRP10	CL
LAMB2	CL
OSBPL3	CL
TRIP6	CL
GSTK1	CL
PTPN14	CL
TEAD3	CL
EPHB4	CL
PCSK5	CL
DLC1	CL
CD151	CL
ITGA7	CL
M6PRBP1	CL
RASGRP1	CL
ACSBG1	CL
MLC1	CL
CENTD1	CL
SLC4A4	CL
FGFR3	CL
PTPRA	CL
ITGB8	CL
EYA2	CL
NES	CL
DENND2A	CL
DAG1	CL
CENTD3	CL
SPRY2	CL
PDGFA	CL
SLC12A4	CL
GLG1	CL
SSH3	CL
PMP22	CL
SOCS2	CL
EGFR	CL
SLC6A11	CL
SLC6A9	CL
LFNG	CL
GNG7	CL
SEMA6D	CL
FZD3	CL
BTBD2	CL
ZNF446	CL
DMWD	CL
GRIK5	CL
ZNF20	CL
CREB5	CL
WSCD1	CL
TRIB2	CL
BLM	CL
GPR56	CL
SEMA6A	CL
NPAS3	CL
SOX9	CL
QTRT1	CL
CC2D1A	CL
AKT2	CL
LRFN3	CL
SCAMP4	CL
C19orf22	CL
RBM42	CL
HMG20B	CL
TMEM161A	CL
APBA3	CL
RFXANK	CL
KEAP1	CL
NR2F6	CL
ERCC2	CL
KIAA0355	CL
HSPBP1	CL
MGC2752	CL
ZNF606	CL
ZNF671	CL
ZNF264	CL
ZNF8	CL
ZNF211	CL
ZNF304	CL
ZNF134	CL
ZNF419	CL
ZNF45	CL
ZNF228	CL
ZNF227	CL
ZNF235	CL
PRPF31	CL
MEGF8	CL
CD3EAP	CL
PRKD2	CL
IRF3	CL
B3GALT1	CL
CDH2	CL
NOS2A	CL
FBXO17	CL
MAB21L1	CL
CDH6	CL
SEPT11	CL
KLHL4	CL
EXTL3	CL
KLHDC8A	CL
SMO	CL
GLI2	CL
RFX2	CL
GNAS	CL
ZFHX4	CL
LRP5	CL
KLHL25	CL
RGS12	CL
CLIP2	CL
POMT2	CL
SARS2	CL
TLE2	CL
VPS16	CL
JUND	CL
MYO5C	CL
TGFB3	CL
ILK	CL
SNTA1	CL
GJA1	CL
NDP	CL
UAP1	MES
YAP1	MES
LTBP1	MES
SYPL1	MES
RABGAP1L	MES
ALDH3B1	MES
LOX	MES
FHL2	MES
IGFBP6	MES
DCBLD2	MES
BNC2	MES
CASP8	MES
HEXA	MES
COL8A2	MES
TES	MES
AIM1	MES
ENG	MES
FXYD5	MES
LY75	MES
PLAU	MES
SH2B3	MES
CDCP1	MES
TRIM38	MES
SP100	MES
FES	MES
S100A4	MES
P4HA2	MES
COL5A1	MES
COL1A2	MES
COL1A1	MES
THBS1	MES
IL1R1	MES
LAMB1	MES
LTBP2	MES
RAB27A	MES
HEXB	MES
TMBIM1	MES
COPZ2	MES
ANXA4	MES
PGCP	MES
SRPX2	MES
ZNF217	MES
DRAM	MES
MRC2	MES
WWTR1	MES
SERPINE1	MES
CLCF1	MES
LRRFIP1	MES
FURIN	MES
RBMS1	MES
NRP1	MES
MYH9	MES
ADAM12	MES
MVP	MES
FER1L3	MES
IQGAP1	MES
CAST	MES
SHC1	MES
ITGA5	MES
FNDC3B	MES
GLT25D1	MES
TCIRG1	MES
TGOLN2	MES
TNFRSF1A	MES
ANXA1	MES
PTRF	MES
EHD2	MES
EFEMP2	MES
TIMP1	MES
LGALS1	MES
LGALS3	MES
CHI3L1	MES
CLIC1	MES
CCDC109B	MES
EMP3	MES
ANXA2	MES
PDPN	MES
PYGL	MES
ARSJ	MES
SWAP70	MES
TRADD	MES
PLS3	MES
ICAM3	MES
VAMP5	MES
RRAS	MES
PROCR	MES
RAB32	MES
ASL	MES
RELB	MES
TGFBI	MES
SLC16A3	MES
IL15RA	MES
ELF4	MES
SLC10A3	MES
GCNT1	MES
LYPLA3	MES
DSC2	MES
MAPK13	MES
HK3	MES
MAN2B1	MES
GRN	MES
CEBPB	MES
MGAT1	MES
FLJ20273	MES
POLD4	MES
VDR	MES
NOD2	MES
DAB2	MES
PTGER4	MES
THBD	MES
PLAUR	MES
CASP5	MES
CASP4	MES
CASP1	MES
SLAMF8	MES
FLJ22662	MES
RHOG	MES
CTSB	MES
CTSC	MES
TGFBR2	MES
IL4R	MES
LHFPL2	MES
GNA15	MES
TNFRSF1B	MES
CCR5	MES
DOK3	MES
BATF	MES
RAC2	MES
NCF2	MES
KYNU	MES
DSE	MES
C1orf38	MES
ITGAM	MES
MS4A4A	MES
MSR1	MES
IFI30	MES
NCF4	MES
CD14	MES
SIGLEC9	MES
PTPN6	MES
MYO1F	MES
LAIR1	MES
LAPTM5	MES
ITGB2	MES
TLR2	MES
PTPRC	MES
ALOX5	MES
LCP1	MES
FCGR2A	MES
CD4	MES
LCP2	MES
CSTA	MES
SERPINA1	MES
PSCD4	MES
MAFB	MES
SYNGR2	MES
STXBP2	MES
ARPC1B	MES
SIGLEC7	MES
LILRB3	MES
NPC2	MES
TRPM2	MES
FMNL1	MES
LY96	MES
SLC11A1	MES
ECGF1	MES
MFSD1	MES
SQRDL	MES
PSCDBP	MES
S100A11	MES
TNFAIP8	MES
FPRL2	MES
C5AR1	MES
LILRB2	MES
AMPD3	MES
STAB1	MES
MAN1A1	MES
CTSZ	MES
STAT6	MES
FCGR2B	MES
ST14	MES
ACSL1	MES
SCPEP1	MES
ACPP	MES
RAB11FIP1	MES
TNFRSF11A	MES
WIPF1	MES
TNFAIP3	MES
PTPN22	MES
SAT1	MES
PLK3	MES
SEC24D	MES
CLEC2B	MES
MAN2A1	MES
BDKRB2	MES
CD2AP	MES
SFT2D2	MES
RUNX2	MES
ITGA4	MES
HFE	MES
FHOD1	MES
TRIM22	MES
PHF11	MES
RBKS	MES
MGST2	MES
C1orf54	MES
BLVRB	MES
CYBRD1	MES
ARHGAP29	MES
CNN2	MES
TLR4	MES
PIGP	MES
UCP2	MES
FOLR2	MES
TEC	MES
S100A13	MES
